Line_1,Line_2,Line_3,City,State,Zip,Country
('897 Gemsbok St','','','Pietersburg','Limpopo','0760','South Africa'),
('496 Wit Rd','','','Johannesburg','Gauteng','2018','South Africa'),
('1666 Robertson Ave','','','Temba','North West','0499','South Africa'),
('2224 Oranje St','','','Wesselsbron','Free State','9682','South Africa'),
('168 Gray Pl','','','Durban','KwaZulu-Natal','4061','South Africa'),
('2338 Gemsbok St','','','Pietersburg','Limpopo','0742','South Africa'),
('226 First Ave','','','Madikwe','North West','2845','South Africa'),
('2153 Zigzag Rd','','','Vereeniging','Gauteng','1936','South Africa'),
('883 Dorp St','','','Nuweland','Western Cape','7708','South Africa'),
('2459 Robertson Ave','','','Temba','North West','0502','South Africa'),
('426 Kort St','','','Kagisanong','Free State','9309','South Africa'),
('820 Gemsbok St','','','Mashashane','Limpopo','0743','South Africa'),
('1157 Bad St','','','Eerste River','Western Cape','7105','South Africa'),
('449 Cheriton Dr','','','Mehlomnyama','KwaZulu-Natal','4246','South Africa'),
('166 Prospect St','','','Pretoria','Gauteng','0011','South Africa'),
('2252 Kort St','','','Kakamas',Northern Cape,'8870','South Africa'),
('977 Plane St','','','Butterworth',Eastern Cape,'4968','South Africa'),
('1444 Kamp St','','','Kaapstad','Western Cape','7493','South Africa'),
('1045 President St','','','Johannesburg','Gauteng','2065','South Africa'),
('1566 Doreen St','','','Thabazimbi','Limpopo','0383','South Africa'),
('877 Oost St','','','Nelspruit','Mpumalanga','1202','South Africa'),
('1735 Nelson Mandela Drive','','','Bochum','Limpopo','0790','South Africa'),
('970 St. John Street','','','Somerset West','Western Cape','7135','South Africa'),
('1979 Bezuidenhout St','','','Embalenhle','Mpumalanga','2285','South Africa'),
('2298 Church St','','','Pretoria','Gauteng','0135','South Africa'),
('256 South St','','','Mabopane','Gauteng','0219','South Africa')