Name,Code
(Afrikaans Home Language,13301024),
(Afrikaans First Additional Language,13311054),
(English Home Language,13301084),
(English First Additional Language,13311114), 
(IsiNdebele Home Language,13301144), 
(IsiNdebele First Additional Language,13311174), 
(IsiXhosa Home Language,13301204),
(IsiXhosa First Additional Language,13311234), 
(IsiZulu Home Language,13301264),
(IsiZulu First Additional Language,13311294), 
(Sepedi Home Language,13301324),
(Sepedi First Additional Language,13311354), 
(Sesotho Home Language,13301384),
(Sesotho First Additional Language,13311414), 
(Setswana Home Language,13301444),
(Setswana First Additional Language,13311474), 
(SiSwati Home Language,13301504),
(SiSwati First Additional Language,13311534), 
(Tshivenda Home Language,13301574),
(Tshivenda First Additional Language,13311604), 
(Xitsonga Home Language,13301634),
(Xitsonga First Additional Language,13311664),
(Mathematical Literacy,19321024),
(Mathematics,19331054),
(Life Orientation,16341024),
(Agricultural Management Practices,10351024), 
(Agricultural Sciences,10351054),
(Agricultural Technology,10351084),
(Dance Studies,11351024),
(Design,11351054),
(Dramatic Arts,11351084), 
(Music,11351114),
(Visual Arts,11351144), 
(Accounting,12351024),
(Business Studies,12351054), 
(Economics,12351084),
(Civil Technology,15351024), 
(Electrical Technology,15351054), 
(Mechanical Technology,15351084),
(Engineering Graphics and Design,15351114),
(Geography,16351054),
(History,16351084),
(Computer Applications Technology,19351024), 
(Information Technology,19351054),
(Life Sciences,19351084),
(Physical Sciences,19351114), 
(Consumer Studies,20351024),
(Hospitality Studies,20351054), 
(Tourism,20351084),